"ac52bbea-eef6-4e5c-9be1-2221e89ce2a4","30%"
"5ce8ba19-354e-45e0-8e0d-93266a788e63","30%"
"e8f5f9fd-03fb-4e0f-a822-14991f6c9f93","30%"
"cf738328-7857-433d-b280-bb648d3a0914","30%"
"7cf7c67d-f56a-4511-8ed6-dfba78405212","30%"
"e78ab515-94ee-4999-b75b-3e38c98120f5","15%"
"d0aa56a5-52ee-4bfd-9054-fa6ef8d43fa1","30%"
"06458c65-0b6c-4740-bf4b-526598726d9b","30%"
"b7734636-1abd-46c8-b55e-2cd3567ae81f","30%"
"31c1a2bb-2fe2-4630-a52f-51e09cf88ea7","30%"
"df28b0f2-3958-4099-af7a-87cac2a708dc","30%"
"82d4fc21-c0de-4527-bee0-56539548c752","30%"
"810dbc93-a57d-4f91-bebd-527baf19db6a","30%"
"2e7e7d09-b38f-40cc-b9ac-12e998c02253","30%"
"309b286e-246d-49ed-85ce-b23d815a6962","30%"
"3be69a65-97ab-4b4c-abd2-89c754a34ec8","30%"
"1df1296e-3c70-4f8d-bb1d-f6debb21bae8","30%"
"5d07b7a4-f2df-4794-8b5f-f8a77927f64b","30%"
"b2397e90-de25-4ff8-a2a6-ee9a26dfaf7e","30%"
"5482382e-ef93-429d-8426-4651108c2f6a","30%"
"92e8b249-fa0f-4771-99fa-7c64c8e6858c","30%"
"2c45b337-cf12-4cc0-bde1-cc9896fd2720","30%"
"5ef6fc61-2d25-4534-80a2-57c5176d498a","30%"
"0c7f4b1c-519f-4009-8255-02801efbc3c3","30%"
"95f3b17a-d8a6-40e4-847a-6e8f2e17f64d","30%"
"86b32755-d815-43c1-838b-808db48f63cb","30%"
"06aee03a-656b-4585-8a3b-52b7ca274534","30%"
"5c306db4-dfa0-4fed-b32e-031ff8281c69","30%"
"ba9323cb-90d7-4db4-a503-79f198c535b5","30%"
"279d4837-f1bf-46e4-8611-02b443794482","30%"
"ae329746-5950-4ccb-9f05-e2f0660579a9","30%"
"b0a726aa-bdbe-4457-9f3f-733bec29707c","30%"
"a44e2ecc-5c2f-40c2-8c12-b89811aa980a","30%"
"ef0b6175-a43e-4ba1-8e56-60a814b35262","30%"
"4f0f5105-0ebd-4a1b-8f97-c5fccf5abd34","30%"
"4edccfc3-2304-4008-9ea3-ddce120d52cb","30%"
"38fcb886-84b1-43ff-912d-cfe0c53d877e","30%"
"86aadc7d-312c-4d61-a40b-bc95651e8f97","30%"
"c4b20a55-6620-4774-a801-8a1155c04c23","30%"
"e66f5e63-b311-4c31-a0d6-3ee63f1185ed","30%"
"8d1de66e-9fa6-4776-b683-9ab8567828ae","30%"
"672b7d5d-8f6f-497b-9422-994800ec0a57","30%"
"7ee9c0dc-db2d-47e9-ad80-d2398c114287","30%"
"0b758d95-6c30-4493-8bd2-aa257225a5f8","30%"
"01891da4-425a-4433-b9ea-d60102a91d01","30%"
"fceea350-f0f4-4c22-ad34-93f89c865aa1","30%"
"2cc6bc08-c405-428e-a685-0b241572ed42","30%"
"4f68fe2c-b530-449d-9ddb-180553aa34cc","30%"
"f3e1aa1a-c9b1-4e26-9a6c-7e34f791088e","30%"
"1b7771a1-b8fa-422d-94b9-836d536dbcc0","30%"
"5d10e37c-1f91-47c7-b74d-e395d1693716","30%"
"9ab605fe-88ec-4a5b-b493-b4675265d6a9","30%"
"14e9bfe9-f4d8-4278-abb6-d8044ff21f1a","30%"
"e3aec2c5-9259-42d5-96b8-16b7e75d35b0","30%"
"938fd150-f1ad-4390-8d85-2c17dedfecf5","30%"
"fc36ab4f-63f7-4e98-aae1-f7587d8670db","30%"
"0a076cc9-cd8c-4acf-b356-4bf61ec10ec1","30%"
"8e9427e5-626a-4330-ab3a-f4ea65ff680a","30%"
"75bcff0f-406f-4677-8333-5d4e092d5d55","30%"
"00836bca-9ab2-4e8d-91d0-3d94490ad946","30%"
"4dfc8e21-5f1a-4120-804c-38d2e65f8e01","30%"
"4fbe6dd9-53f3-4f65-a7ac-cc4b4dfbc008","30%"
"2227ff3e-53b9-4569-bbcb-5bbaa63f1d8e","30%"
"34d7c46a-0607-4ca1-9102-9351f9f6f753","30%"
"5aa5a1a5-e027-4d89-9214-f773bfc29146","30%"
"35dd9a0f-8ded-4875-89de-e86c6a86ef17","30%"
"9a8dae26-1dd9-481f-8e44-90315f94e01f","30%"
"8be39a3e-f99d-4445-9ed1-3662ba6c80a0","30%"
"23cca5bc-1ed3-4f5b-aa48-267984054c98","30%"
"6a804b51-3526-4757-8f7b-cf61258cb655","30%"
"b17843c4-7fe1-4e67-b3a4-00ead21c2046","30%"
"d7f241f2-4108-42d0-bca2-20948aa12529","30%"
"82aa5a56-f3ce-4a41-a5d4-4786bf7bb2c7","30%"
"5ea9db30-b119-4914-a094-a35cba945521","30%"
"fafae9f0-c57d-4b69-a280-6d9a5345b863","30%"
"89d748ae-940b-4253-b96e-eff42e95eb0c","30%"
"6e87ea13-5349-498f-afa7-b51f53b51b0d","30%"
"4cdc485d-da00-4b0e-83ea-a912b6938146","30%"
"3947cbbe-4f71-4973-a1ed-1cc1f0650460","30%"
"c857811e-2e63-4e94-8afe-fc303f8acb3a","30%"
"3bcbe4ef-fcfe-43fa-8b7a-43c040d7bfc8","30%"
"c45f7473-3208-4731-8f23-90ef9d712a71","30%"
"311fb6ae-ec8d-48ac-8f2f-cf2775d98620","30%"
"825cee5b-6957-4fc5-aef4-6823a5508734","30%"
"fd0aacb0-7d03-4fc6-bc6d-8742f1531165","30%"
"7633cf18-95dc-4b89-945d-0cde352113d7","30%"
"bdf11312-62e4-4509-855a-a8cf1ec19065","30%"
"bd4256d5-4d08-4dc9-b79f-688f6ad3dba3","30%"
"7ea72781-203f-4b76-a508-54f01d306227","30%"
"e307f997-d90e-4058-9c40-cd0d2802af1a","30%"
"f1054d46-441c-426b-883e-1c543bb4a934","30%"
"89154030-4248-4f67-a08b-492f87a1dd1a","30%"
"87db53af-793d-4fc2-840e-5665cf53e3fa","30%"
"1a6fd6d1-723e-4fbb-b9ce-595c272881ec","30%"
"3580bb1b-afc0-463e-a92c-51b10d629c35","30%"
"d4ae398b-4d10-4964-9dea-50c9918893a8","30%"
"47da2cfa-e696-4548-9fdd-f20e2aecc8c6","30%"
"561d0342-c3fa-42cd-b42f-b4a4aad30023","30%"
"f5db2a01-bb07-4060-bf4f-d1df8f6974d8","30%"
"6ef89dc3-b5f6-4057-89f6-cf6c9134904a","30%"
"5c9d165e-fdba-46c2-aba6-3898370416f3","30%"
"fa365a6a-1279-444c-a68e-be84baaa0627","30%"
"8f8640be-d1e7-4474-9ca4-68180fed18b4","30%"
"8f7f3141-a4ac-437c-8dcd-6161aaaf9415","30%"
"6593807b-1b1d-453f-8286-f1b3abe2b207","30%"
"da705a4b-6ea6-43be-8f04-8760ebdcb90d","30%"
"8e72581e-fbfe-419a-b6a0-cdc9bae1a2a4","30%"
